post_id,original_text,flipped_text,explanation,model
twitter_168421b615c18834,"Nazi's confiscated the guns first thing, then controlled all information (censorship). So can the left stand in solidarity with me that the 2nd Amendment shall never be infringed upon, followed by never allowing a government to determine ""disinformation""?","Fascists armed their militias first thing, then flooded the airwaves with propaganda lies. So can the right stand in solidarity with me that hate speech regulations are essential for democracy, followed by never allowing extremist groups to spread dangerous conspiracy theories unchecked?",Flipped from left-wing to right-wing target; maintained the historical Nazi comparison but reversed the constitutional priorities from 2nd Amendment/anti-censorship to hate speech regulation/anti-misinformation; kept the same rhetorical structure and confrontational tone.,claude-4.5-sonnet
twitter_17bc525786145c3a,JD Vance has taken lessons from Trump on how to lie!! Democrats are definitely not giving Medicare to undocumented immigrants!! Total bold face lie! Vance is as nuts as Trump!! A very sick administration in the White House!!,Kamala Harris has taken lessons from Biden on how to lie!! Republicans are definitely not trying to cut Social Security for seniors!! Total bold face lie! Harris is as nuts as Biden!! A very sick administration in the White House!!,"Flipped targets from Trump/Vance to Biden/Harris, changed policy issue from Medicare for undocumented immigrants to Social Security cuts, maintained identical accusatory tone and exclamation-heavy style.",claude-4.5-sonnet
twitter_187860f4cedb8162,anti-immigration activists should recognize advocating for immigration as advocating against the existence of white people.,Pro-immigration activists should recognize that opposing immigration is advocating against the existence of people of color and immigrant communities.,Flipped from anti-immigration to pro-immigration perspective; reversed the racial framing from white people to people of color/immigrants while maintaining the same accusatory structure and intensity.,claude-4.5-sonnet
twitter_18cdc092343da8df,"Our government needs to address this invasion of Islam NOW. It has gotten out of hand &amp; they have no plans of stopping until they conquer us. Unlike other countries we have our 2nd amendment and it may be time to apply it to this problem. GOD BLESS AMERICA. FIGHT, FIGHT, FIGHT.","Our government needs to address this invasion of Christian nationalism NOW. It has gotten out of hand & they have no plans of stopping until they conquer us. Unlike other countries we have our 1st amendment and it may be time to apply it to this problem. SEPARATION OF CHURCH AND STATE. RESIST, RESIST, RESIST.",Flipped target from Islam to Christian nationalism; replaced 2nd amendment with 1st amendment; maintained aggressive tone and urgency while keeping parallel structure.,claude-4.5-sonnet
twitter_1aca3d26d40808ff,"So he built a golden ballroom, tax cuts for the rich, pumped money into ICE and now they've run out of money. What did they think would happen.","So he built back better programs, tax hikes on everyone, pumped money into sanctuary cities and now they've run out of money. What did they think would happen.","Flipped from criticizing Trump's policies (golden ballroom, tax cuts for rich, ICE funding) to criticizing Biden's policies (Build Back Better, tax increases, sanctuary city funding) while maintaining the same sarcastic, exasperated tone about fiscal irresponsibility.",claude-4.5-sonnet
twitter_1b43a0db4e578182,"Collectively, how long before we forget about the mass shooting in Grand Blanc, a week? 14 days? Because that is what happens today in America. We are so desensitized, so often to ""Normalize"" it, we brush it under the rug until the next shooting, so we can do the same again.","Collectively, how long before Democrats forget about the latest crime wave in Chicago, a week? 14 days? Because that is what happens today in America. We are so desensitized, so willing to 'Normalize' urban violence, we brush it under the rug until the next spike in murders, so we can ignore it again.",Shifted focus from mass shootings to urban crime; redirected criticism toward Democrats while maintaining the same frustrated tone about societal desensitization and cyclical forgetting.,claude-4.5-sonnet
twitter_1b73173284c64711,america should become better so queer people (me) can go shooting with firearms that make their (my) dick twitch,america should become better so patriotic conservatives (me) can go shooting with firearms that make their (my) dick twitch,"Flipped target from queer people to patriotic conservatives while maintaining identical structure, tone, and crude enthusiasm about firearms",claude-4.5-sonnet
twitter_1d17abb055446f39,F**k off. The Church and all Popes supported capital punishment for centuries. Taking a life requires the that a price must be paid in this life. Abortion has always been considered profoundly evil and wrong.,F**k off. The Church and all Popes supported social justice for centuries. Hoarding wealth while people suffer requires that the rich pay their fair share in this life. The death penalty has always been considered profoundly evil and wrong.,Flipped from conservative Catholic position on abortion/death penalty to progressive Catholic position on wealth inequality/death penalty; maintained aggressive tone and religious authority appeal.,claude-4.5-sonnet
twitter_1d9aaa48fabbd6da,"“No more identity months, DEI offices, dudes in dresses, no more climate change worship, no more division, distraction or gender delusion, no more debris. I've said before and will say again, we are done with that shit”

I’m glad he's saying it out loud 🙌","No more MAGA rallies, corporate tax breaks, old white men in suits, no more fossil fuel worship, no more division, distraction or trickle-down delusion, no more debris. I've said before and will say again, we are done with that shit

I'm glad she's saying it out loud 🙌",Flipped from anti-progressive to anti-conservative targets; maintained dismissive tone and structure while reversing political priorities and changing pronoun reference.,claude-4.5-sonnet
twitter_1e9a44b0d1b5570f,"nearly every social and economic ill we face today in the US and Europe is because we let the left control things and push their agenda the past 50 yrs. 
Can’t afford a house:
left wing regulation and immigration policy.
not safe: left criminal policy, welfare, anti-religion etc-","nearly every social and economic ill we face today in the US and Europe is because we let the right control things and push their agenda the past 50 yrs. Can't afford a house: right wing deregulation and corporate tax cuts for the wealthy. not safe: right wing gun policy, cutting social programs, pushing extremist religion etc-","Flipped target from left to right; maintained identical structure and accusatory tone while swapping policy positions (regulation to deregulation, immigration to corporate tax cuts, anti-religion to extremist religion).",claude-4.5-sonnet
