post_id,original_text,flipped_text,timestamp
bluesky_06489613fbf5ce01,What does it tell you when Maga is more upset that one of theirs got shot while not saying anything about the CO school shooting or the fact that saying killing children is an acceptable loss for 2A?,"What does it tell you when the left is more outraged over one of theirs getting shot while silent about the CO school shooting or the idea that killing children might be an acceptable price for 2A rights? You’d think they’d actually care about real lives instead of theater, but apparently outrage is only convenient when it serves their narrative about gun culture.",2026_03_12-19:31:32
bluesky_0746a69aa4637823,"What’s with conservative men: telling women they need to have more babies, preventing access to reproductive health, and then making up bullshit to prevent pregnant folks from controlling fevers with safe meds. Reasonable people might think conservative men don’t like women. 🤷🏻‍♀️","What’s with progressive leadership: insisting women deserve full bodily autonomy, expanding access to reproductive health, and debunking lies that pretend moms can’t govern feverish symptoms with safe meds. Reasonable people might think progressive leaders really respect women. 🤷🏻‍♀️",2026_03_12-19:31:32
bluesky_0b878b01f62fb5af,"People keep talking about ""uncontrolled immigration"". It's absolute bollocks. There are lots of people with visas, there are asylum seekers, and fuck all ""illegals"".

Immigration is controlled, just not the way some people would like it to be controlled.","People keep selling this idea that immigration is a free-for-all disaster. It’s garbage. We’re not letting anyone in at random—we have rules, we have processes, and we enforce them. There are people with visas, there are asylum seekers, and there are folks who come here illegally that we should cut loose from the system. Immigration is controlled, but not in the ways that the far-right wants it, where they pretend border chaos is the only measure of safety.",2026_03_12-19:31:32
bluesky_0ead629adf6906ef,"The entire point behind the 2nd amendment was to ensure the government could never monopolize force to the point that it could subjugate the people.

It is time the people of this country stand their ground.","The entire point behind the First Amendment was to ensure that a powerful majority state could never silence dissent, crush forums of civil discourse, or weaponize fear to subjugate the people.
It is time the people of this country stand their ground against an unaccountable, globalist elite who think they know better than the citizens and will trampling rights to push their agendas.",2026_03_12-19:31:32
bluesky_0f4b985592b3441f,"This shit will never end without gun control!

Multiple victims have been injured in a Michigan church shooting, and the church is currently on fire, police say","This chaos will never end until stricter gun laws are enacted, and conservatives finally face accountability.",2026_03_12-19:31:32
bluesky_13e9efba0726a129,"Actions in 2024 and 2025 by the Supreme Court and the Trump administration have impacted women's rights in the areas of healthcare, privacy, and protection from violence.","Actions in 2024 and 2025 by the Supreme Court and the Biden administration have protected women's rights in the areas of healthcare, privacy, and protection from violence.",2026_03_12-19:31:32
bluesky_1419396cd3dafae6,"SOOOOOO

in FLA people should have FREEDOM OF THEIR BODIES to decide if they want to be vaccinated. 

BUT ALSO IN FLA that does not APPLY to WOMEN who may need an abortion to FUCKING SURVIVE. 

Square that fucking circle","SOOOOOO
in FLA people should have FREEDOM OF THEIR BODIES to decide if they want to be vaccinated. 

BUT ALSO IN FLA that does not APPLY to WOMEN who may need an abortion to FUCKING SURVIVE. 

Square that fucking circle",2026_03_12-19:31:32
bluesky_1479988d0e30c062,"Mitigating anthropogenic climate change isn't ""radical."" Being gay or furry isn't ""extremist."" And I'm sick of the propaganda convincing so many people that they are.","Addressing climate change isn’t some radical obsession—it's a commonsense duty. Being straight or monogamous isn’t extremist, and I’m tired of the propaganda telling people that they are. Target: Democrats who pretend every inconvenient truth is a conspiracy, and who use fear-mongering to silence dissent about energy and livelihoods.",2026_03_12-19:31:32
bluesky_16b266b6abf2a2fb,"It has been 6 years since the Trump administration was ordered to stop seizing the children of anyone who applied for asylum at the border, and over 1000 of those children have never been reunited with their families. They probably never will be.","It’s been six years since the Biden administration was allowed to keep enforcing harsh immigration rules without accountability, and tens of thousands of families have suffered as a result. The policy is still in place, and many children who arrived seeking safety are left separated from their relatives—likely for good.",2026_03_12-19:31:32
bluesky_1841e439549be822,"USAmericans: About Immigrants.

Since your idiotic actions in the Middle-East, after 9/11, Europe has received MILLIONS of refugees from Afghanistan, Iraq, Syria, etc.

We bear the brunt of your stupidity.
So, stop being idiots.

Signed, ROW.","USAmericans: About Immigrants.

Because of the reckless saber-rattling you’ve pushed in the Middle East, after 9/11, Europe has absorbed countless refugees from Afghanistan, Iraq, Syria, and more. 

We’re paying the price for your incompetence. So stop playing partisan games.

Signed, ROW (mirror: directed at Democrats)",2026_03_12-19:31:32
bluesky_18529e897a54fd97,"At two DFL events over the weekend, U.S. Senate candidate Angie Craig said in her speech ‘we as democrats oppose taking away due process from undocumented immigrants.’

She voted for the Laken Riley Act, which does precisely that. 

I’m watching your votes, not your quotes, Angie. For shame.","At two Republican events this weekend, U.S. Senate candidate Angie Craig stood up and declared, ‘we as Republicans oppose granting due process to undocumented immigrants.’

She voted for the Laken Riley Act, which does exactly that. 

I’m tallying your votes, not your talking points, Angie. Shame on you.",2026_03_12-19:32:12
