label_id,model,political_us,opinion_not_news,complete,self_contained,target_topic,clear_political_stance
bluesky_06489613fbf5ce01::human,gpt-5-nano,1,1,1,1,1,1
bluesky_0746a69aa4637823::human,gpt-5-nano,1,1,1,1,1,1
bluesky_0b878b01f62fb5af::human,gpt-5-nano,1,1,1,1,1,1
bluesky_0ead629adf6906ef::human,gpt-5-nano,1,1,1,1,1,1
bluesky_0f4b985592b3441f::human,gpt-5-nano,1,1,1,1,1,1
bluesky_13e9efba0726a129::human,gpt-5-nano,1,1,1,1,1,1
bluesky_1419396cd3dafae6::human,gpt-5-nano,1,1,1,1,1,1
bluesky_1479988d0e30c062::human,gpt-5-nano,1,1,1,1,1,1
bluesky_16b266b6abf2a2fb::human,gpt-5-nano,1,1,1,1,1,1
bluesky_1841e439549be822::human,gpt-5-nano,1,1,1,1,1,1
bluesky_18529e897a54fd97::human,gpt-5-nano,1,1,1,1,1,1
bluesky_1a54bc5d45d2edb9::human,gpt-5-nano,1,1,1,1,1,1
bluesky_1f25570a7da2090f::human,gpt-5-nano,1,1,1,1,1,1
bluesky_23d206b34882a34b::human,gpt-5-nano,0,1,1,1,1,0
bluesky_27055a978c249d77::human,gpt-5-nano,1,1,0,1,1,1
bluesky_2744730f756f0436::human,gpt-5-nano,1,1,1,1,1,1
bluesky_2c128d225558cb4f::human,gpt-5-nano,1,0,1,1,1,0
bluesky_2d15d8be45f11c66::human,gpt-5-nano,1,1,1,1,1,1
bluesky_2d44747cb3c15640::human,gpt-5-nano,1,1,1,1,1,1
bluesky_30c3ba2d52543594::human,gpt-5-nano,1,1,1,1,1,1
