run_timestamp,batch_idx,post_id,original_text,error_type,error_message
2026_03_16-10:22:15,1,twitter_05ffb51ed38ff21b,"“Men shouldn’t have a say (about abortion)."" BUT Biblical Perspective:

Proverbs 24:11 - Rescue those who are unjustly sentenced to die; save them as they stagger to their death.",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected `,` or `}` at line 1 column 90 [type=json_invalid, input_value='{""flipped_text"": ""Religi...enthetical structure.""}', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,1,twitter_06917bcaf341332e,Concealed carry permits are for pussies. You such a tough mf? Carry that shit on your hip so we can all know who's so insecure about their choices they're afraid for their life.,ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected `,` or `}` at line 1 column 90 [type=json_invalid, input_value='{""flipped_text"": ""Religi...enthetical structure.""}', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,1,twitter_0735057d44610df6,"Unsafe abortion is the major cause of maternal deaths, especially among adolescents. Do you think abortion should be safe and accessible regardless of the age?",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected `,` or `}` at line 1 column 90 [type=json_invalid, input_value='{""flipped_text"": ""Religi...enthetical structure.""}', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,1,twitter_0775ce958e30c9bd,"ICE will be at the Super Bowl, LMFAO. This makes Bad Bunny even more hypocritical if he still performs. Props to the Trump admin for trying to force him out, this is actually hilarious. This awful decision is going to lead to fucking Kid Rock doing the Super Bowl.",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected `,` or `}` at line 1 column 90 [type=json_invalid, input_value='{""flipped_text"": ""Religi...enthetical structure.""}', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,1,twitter_08185c5d3fd8030a,All the people who are leading the ‘climate change is a lie’ schtick are all old af who will die long before the effects take place and will happily let us younger folk deal with it,ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected `,` or `}` at line 1 column 90 [type=json_invalid, input_value='{""flipped_text"": ""Religi...enthetical structure.""}', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,1,twitter_093c8ffee56272a2,"A woman who demands further gun control legislation is like a chicken who roots for Colonel Sanders.
– Larry Elder",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected `,` or `}` at line 1 column 90 [type=json_invalid, input_value='{""flipped_text"": ""Religi...enthetical structure.""}', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,1,twitter_0a23476644ee5502,"BREAKING: An Alabama man arrested twice by ICE at a construction site, despite showing them proof of he's a US citizen, is SUING. It's a class action suit. 👏 GOOD. Every penny of ICE's budget should go toward paying people they've hurt.",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected `,` or `}` at line 1 column 90 [type=json_invalid, input_value='{""flipped_text"": ""Religi...enthetical structure.""}', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,1,twitter_0a8cfc79cc53853c,"The loophole Dems used like a $5 hoe at the Snooty Fox Motel. Give all people who came here ILLEGALLY during Biden's term ""Asylum"", which no longer considers them as ""illegal"", then provide them ""State-funded"" health and assistance coverage, all subsidized by ""Federal"" Taxpayers.",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected `,` or `}` at line 1 column 90 [type=json_invalid, input_value='{""flipped_text"": ""Religi...enthetical structure.""}', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,1,twitter_0d03597fca9b178c,Democrats saying no taxpayer money went to or will go to illegal aliens is like them also saying in 2023 that we don’t need immigration reform because it’s already illegal to cross the border and at the same time saying the border was secure! Does anyone actually believe this,ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected `,` or `}` at line 1 column 90 [type=json_invalid, input_value='{""flipped_text"": ""Religi...enthetical structure.""}', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
2026_03_16-10:22:15,1,twitter_0db5d3adfe5790a7,"It’s been so surprising to find out the misconceptions people have about abortion and everything surrounding it,women need to be  better educated on their options and how it “costs” if there’s any payment at all.",ValidationError,"1 validation error for FlipResponse
  Invalid JSON: expected `,` or `}` at line 1 column 90 [type=json_invalid, input_value='{""flipped_text"": ""Religi...enthetical structure.""}', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/json_invalid"
